# Time-averaged data for fix 3
# TimeStep c_Q6
8450000 0.0777521
8460000 0.0765621
8470000 0.0769939
8480000 0.0759116
8490000 0.0768459
8500000 0.076774
8510000 0.0766049
8520000 0.076882
8530000 0.0763333
8540000 0.0771544
8550000 0.0766744
8560000 0.0769272
8570000 0.0756231
8580000 0.0765094
8590000 0.077091
8600000 0.0775351
8610000 0.0770393
8620000 0.0773286
8630000 0.0767035
8640000 0.0775473
8650000 0.0759555
8660000 0.0785246
8670000 0.0767055
8680000 0.0774163
8690000 0.0762819
8700000 0.0770659
8710000 0.0769738
8720000 0.0767823
8730000 0.0769347
8740000 0.0773672
8750000 0.0765746
8760000 0.0766914
8770000 0.0761213
8780000 0.0761969
8790000 0.0773424
8800000 0.0764861
8810000 0.0767284
8820000 0.0770684
8830000 0.0763863
8840000 0.0773967
8850000 0.0772594
8860000 0.0780955
8870000 0.0765613
8880000 0.0769759
8890000 0.0773978
8900000 0.0775366
8910000 0.0753797
8920000 0.075161
8930000 0.0761259
8940000 0.0767731
8950000 0.0767669
8960000 0.0766997
8970000 0.0765869
8980000 0.0757057
8990000 0.0780407
9000000 0.0763833
9010000 0.0764698
9020000 0.0763493
9030000 0.0766876
9040000 0.075976
9050000 0.0763824
9060000 0.0769279
9070000 0.0764895
9080000 0.076197
9090000 0.0771024
9100000 0.0770777
9110000 0.075831
9120000 0.0775573
9130000 0.0779542
9140000 0.0770359
9150000 0.0762623
9160000 0.077778
9170000 0.0760812
9180000 0.0778903
9190000 0.0769734
9200000 0.0764418
9210000 0.0774084
9220000 0.0774847
9230000 0.0766849
9240000 0.0766729
9250000 0.0769034
9260000 0.0758026
9270000 0.0762403
9280000 0.0766428
9290000 0.0766679
9300000 0.0767592
9310000 0.0768452
9320000 0.076668
9330000 0.0781478
9340000 0.0776905
9350000 0.0776424
9360000 0.075747
9370000 0.0761702
9380000 0.0757202
9390000 0.0765056
9400000 0.0763687
9410000 0.0764511
9420000 0.0775222
9430000 0.0762756
9440000 0.0757579
9450000 0.0762878
9460000 0.0757898
9470000 0.0761801
9480000 0.0760463
9490000 0.0762855
9500000 0.0769587
9510000 0.0766626
9520000 0.0751774
9530000 0.0776263
9540000 0.0769743
9550000 0.077086
9560000 0.0765698
9570000 0.0764322
9580000 0.0767486
9590000 0.0770107
9600000 0.0782275
9610000 0.0764766
9620000 0.0775237
9630000 0.077291
9640000 0.0762895
9650000 0.0763667
9660000 0.0758412
9670000 0.0770717
9680000 0.07669
9690000 0.0774817
9700000 0.0755671
9710000 0.0759875
9720000 0.0770678
9730000 0.076617
9740000 0.0752102
9750000 0.0758893
9760000 0.0768995
9770000 0.0766821
9780000 0.0769813
9790000 0.0772624
9800000 0.0769037
9810000 0.077558
9820000 0.0752441
9830000 0.0760981
9840000 0.0769173
9850000 0.0778555
9860000 0.0773769
9870000 0.0768479
9880000 0.076903
9890000 0.0762821
9900000 0.0774633
9910000 0.0774271
9920000 0.0767259
9930000 0.076618
9940000 0.0758189
9950000 0.0759798
9960000 0.0759711
9970000 0.075379
9980000 0.0766168
9990000 0.0757415
10000000 0.0761652
10010000 0.0758703
10020000 0.0761728
10030000 0.0763856
10040000 0.0770433
10050000 0.0759424
10060000 0.0756555
10070000 0.076346
10080000 0.0762007
10090000 0.0764688
10100000 0.0773628
10110000 0.0767499
10120000 0.0775382
10130000 0.0769411
10140000 0.0769624
10150000 0.0762052
10160000 0.0772302
10170000 0.0759409
10180000 0.0764101
10190000 0.0763007
10200000 0.0773352
10210000 0.0765207
10220000 0.0777291
10230000 0.0762683
10240000 0.0756461
10250000 0.0774937
10260000 0.0767557
10270000 0.0768226
10280000 0.0757104
10290000 0.0757134
10300000 0.0773509
10310000 0.0770146
10320000 0.077601
10330000 0.0765347
10340000 0.0761126
10350000 0.0758541
10360000 0.0768191
10370000 0.075667
10380000 0.0755463
10390000 0.0756227
10400000 0.0761366
10410000 0.0754896
10420000 0.076525
10430000 0.0781728
10440000 0.0770327
10450000 0.0770854
10460000 0.0751091
10470000 0.0770913
10480000 0.0757588
10490000 0.0769061
10500000 0.0767814
10510000 0.0763624
10520000 0.0756699
10530000 0.0764284
10540000 0.0769026
10550000 0.07746
10560000 0.0774378
10570000 0.0757221
10580000 0.0760988
10590000 0.0775305
10600000 0.0758888
10610000 0.0773435
10620000 0.0765593
10630000 0.0771536
10640000 0.0760558
10650000 0.0774737
10660000 0.0754281
10670000 0.0763807
10680000 0.0762926
10690000 0.0762841
10700000 0.0764434
10710000 0.0769835
10720000 0.076495
10730000 0.0776417
10740000 0.0759814
10750000 0.0758922
10760000 0.0768647
10770000 0.0759178
10780000 0.0762895
10790000 0.0769472
10800000 0.0760336
10810000 0.0769695
10820000 0.0766867
10830000 0.0769351
10840000 0.0757838
10850000 0.0774648
10860000 0.0760049
10870000 0.0759272
10880000 0.0775405
10890000 0.0759976
10900000 0.0769289
10910000 0.0750596
10920000 0.0769819
10930000 0.0766414
10940000 0.0775302
10950000 0.076733
10960000 0.076529
10970000 0.07637
10980000 0.0767762
10990000 0.0760543
11000000 0.0758519
11010000 0.0766802
11020000 0.0768795
11030000 0.0750971
11040000 0.0771935
11050000 0.0757009
11060000 0.076172
11070000 0.0769533
11080000 0.0769999
11090000 0.0768841
11100000 0.0771793
11110000 0.0763859
11120000 0.0756621
11130000 0.0771507
11140000 0.0767149
11150000 0.0773974
11160000 0.0767779
11170000 0.0771698
11180000 0.0759998
11190000 0.0780611
11200000 0.0759678
11210000 0.0769255
11220000 0.0768237
11230000 0.0760201
11240000 0.0760937
11250000 0.0755793
11260000 0.0752154
11270000 0.0765682
11280000 0.0760844
11290000 0.0781912
11300000 0.0766387
11310000 0.0755302
11320000 0.0773527
11330000 0.0765771
11340000 0.0758398
11350000 0.0777501
11360000 0.0756212
11370000 0.0762563
11380000 0.0762512
11390000 0.0773655
11400000 0.0766553
11410000 0.07637
11420000 0.0760581
11430000 0.0769175
11440000 0.0765832
11450000 0.0758076
11460000 0.0766223
11470000 0.0765334
11480000 0.0767662
11490000 0.0762316
11500000 0.0764859
11510000 0.0760837
11520000 0.0766294
11530000 0.0773523
11540000 0.0762036
11550000 0.0771245
11560000 0.076858
11570000 0.0762632
11580000 0.0773509
11590000 0.0764561
11600000 0.0757964
11610000 0.0766303
11620000 0.0767703
11630000 0.0769306
11640000 0.0766365
11650000 0.0767092
11660000 0.0770266
11670000 0.0765179
11680000 0.0761202
11690000 0.075618
11700000 0.0770265
11710000 0.0765086
11720000 0.0770047
11730000 0.076198
11740000 0.0752973
11750000 0.0764653
11760000 0.0764396
11770000 0.0772804
11780000 0.0753987
11790000 0.0756851
11800000 0.0768533
11810000 0.076275
11820000 0.0768055
11830000 0.0765305
11840000 0.0760673
11850000 0.0762506
11860000 0.0752939
11870000 0.0750059
11880000 0.077353
11890000 0.0771914
11900000 0.0766363
11910000 0.0772351
11920000 0.0760646
11930000 0.0765288
11940000 0.0758161
11950000 0.0768869
11960000 0.0763881
11970000 0.0757171
11980000 0.0770743
11990000 0.0754857
12000000 0.0756876
12010000 0.0764307
12020000 0.0764353
12030000 0.0755247
12040000 0.0773553
12050000 0.0757506
12060000 0.0763319
12070000 0.0756058
12080000 0.0761936
12090000 0.0755899
12100000 0.0770422
12110000 0.0756845
12120000 0.0758484
12130000 0.0758336
12140000 0.0763183
12150000 0.0755472
12160000 0.0766035
12170000 0.075897
12180000 0.0767678
12190000 0.0769943
12200000 0.0759335
12210000 0.0765003
12220000 0.0761047
12230000 0.0769613
12240000 0.0773153
12250000 0.0765611
12260000 0.0758978
12270000 0.0769373
12280000 0.076972
12290000 0.0758829
12300000 0.0753606
12310000 0.0776802
12320000 0.0761937
12330000 0.0766758
12340000 0.0762377
12350000 0.0763748
12360000 0.0775009
12370000 0.0779495
12380000 0.0773629
12390000 0.0764308
12400000 0.0767443
12410000 0.0756304
12420000 0.0769698
12430000 0.0756114
12440000 0.0764872
