# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
315000 1.00784 7.22082 -6.60443 3820.82 1.0469 0.445715
316000 1.00048 7.19907 -6.62103 3816.59 1.04806 0.446655
317000 0.99863 7.16014 -6.62109 3818.53 1.04753 0.446471
318000 0.999647 7.20922 -6.62272 3815.7 1.04831 0.446609
319000 1.0012 7.16508 -6.62412 3817.75 1.04775 0.446604
320000 1.00304 7.18603 -6.61005 3821.22 1.04679 0.446048
321000 1.00083 7.16431 -6.60712 3822.88 1.04634 0.445722
322000 1.00223 7.13504 -6.6168 3821.42 1.04674 0.446588
323000 0.993833 7.19476 -6.61927 3817.02 1.04794 0.446395
324000 0.999952 7.13239 -6.62378 3819.45 1.04727 0.446536
325000 0.996012 7.11775 -6.62827 3818.73 1.04747 0.446513
326000 0.995617 7.11366 -6.62543 3819.84 1.04717 0.446434
327000 1.00528 7.07921 -6.63264 3820.01 1.04713 0.446927
328000 0.999928 7.10194 -6.62933 3819.64 1.04722 0.44677
329000 1.00595 7.0379 -6.62289 3825.4 1.04564 0.446169
330000 1.00714 7.13042 -6.6031 3826.11 1.04546 0.445437
331000 1.00535 7.08055 -6.62203 3823.05 1.04629 0.44637
332000 0.987483 7.04376 -6.6348 3820.15 1.04709 0.446586
333000 1.00063 7.11247 -6.61223 3824.38 1.04593 0.445715
334000 0.996692 7.09553 -6.61593 3823.52 1.04616 0.445965
335000 0.995635 6.98134 -6.62515 3827.47 1.04508 0.44577
336000 1.00804 7.10791 -6.61204 3824.83 1.04581 0.446121
337000 1.00511 7.01976 -6.62211 3826.72 1.04528 0.446242
338000 0.994235 7.02452 -6.61948 3826.42 1.04537 0.446039
339000 0.999574 7.07205 -6.62523 3822.43 1.04646 0.446378
340000 1.00588 6.94976 -6.62976 3828.08 1.04491 0.446286
341000 0.99994 7.01168 -6.60466 3832.13 1.04381 0.44541
342000 0.998766 7.03413 -6.63496 3821.39 1.04674 0.446711
343000 1.0027 6.97628 -6.60747 3833.32 1.04348 0.445025
344000 0.99831 7.02739 -6.61655 3827.18 1.04516 0.446246
345000 1.00664 6.94536 -6.62714 3829.23 1.0446 0.446189
346000 0.993254 6.95382 -6.63077 3827.16 1.04517 0.446274
347000 1.00248 7.0085 -6.62081 3827.59 1.04505 0.445826
348000 1.00311 6.95458 -6.59661 3837.69 1.04229 0.445056
349000 0.995462 7.01904 -6.61384 3828.62 1.04476 0.445825
350000 0.993885 6.9483 -6.63238 3826.72 1.04529 0.446531
351000 1.00033 6.87698 -6.62641 3833.01 1.04357 0.446046
352000 1.00287 6.89409 -6.62215 3833.51 1.04344 0.445495
353000 1.0017 6.98334 -6.61885 3829.54 1.04451 0.446029
354000 0.99424 6.93251 -6.61133 3834.16 1.04325 0.445068
355000 0.995695 6.88797 -6.63169 3830.55 1.04424 0.446463
356000 1.00131 6.94992 -6.61404 3832.78 1.04363 0.445525
357000 0.985036 6.97804 -6.61848 3828.9 1.04469 0.446139
358000 1.00493 6.81391 -6.61786 3839.31 1.04186 0.445026
359000 0.997299 6.90959 -6.61507 3834.2 1.04325 0.44525
360000 1.01017 6.88517 -6.60487 3839.7 1.04176 0.445186
361000 1.00456 6.86373 -6.61382 3837.7 1.04229 0.44548
362000 0.992766 6.8619 -6.61821 3835.9 1.04279 0.445671
363000 1.00748 6.86445 -6.61807 3836.84 1.04253 0.44582
364000 1.00551 6.81708 -6.62314 3837.64 1.04231 0.445852
365000 0.988607 6.85395 -6.62757 3833.23 1.04351 0.445778
366000 1.00056 6.82897 -6.61237 3839.92 1.04169 0.44541
367000 0.996016 6.82517 -6.61187 3840.15 1.04163 0.44519
368000 1.00115 6.85801 -6.61867 3836.42 1.04264 0.445859
369000 0.994029 6.84873 -6.62925 3833.47 1.04345 0.446212
370000 0.998354 6.75023 -6.6209 3841.44 1.04128 0.445823
371000 0.998889 6.77241 -6.62083 3840.67 1.04149 0.445768
372000 1.00759 6.82746 -6.6078 3841.99 1.04113 0.445013
373000 0.994252 6.76568 -6.62684 3838.79 1.042 0.445874
374000 1.01278 6.73765 -6.60805 3847.03 1.03976 0.44494
375000 0.988839 6.85503 -6.61875 3835.96 1.04277 0.445492
376000 1.00387 6.70124 -6.607 3848.84 1.03928 0.4448
377000 0.991834 6.84359 -6.60376 3841.24 1.04133 0.445087
378000 0.997161 6.8056 -6.60476 3843.46 1.04073 0.444785
379000 1.00122 6.69941 -6.60769 3848.82 1.03928 0.444876
380000 1.00168 6.74206 -6.62168 3842.11 1.0411 0.445421
381000 1.00918 6.73185 -6.60397 3848.5 1.03937 0.444787
382000 0.988132 6.73296 -6.60968 3845.5 1.04018 0.444688
383000 1.00818 6.74256 -6.60606 3847.3 1.0397 0.444763
384000 0.999734 6.71777 -6.60868 3847.37 1.03967 0.444719
385000 0.998604 6.66359 -6.62037 3846.72 1.03985 0.445104
386000 1.00094 6.74586 -6.61424 3844.24 1.04052 0.445088
387000 1.0079 6.65426 -6.59987 3854.42 1.03777 0.444135
388000 1.00096 6.70111 -6.61584 3846.24 1.03998 0.445412
389000 0.992115 6.73996 -6.60855 3845.84 1.04009 0.444628
390000 0.996904 6.67947 -6.59719 3852.86 1.03819 0.444132
391000 1.00249 6.64786 -6.60436 3852.98 1.03816 0.444441
392000 0.995988 6.67721 -6.6168 3846.66 1.03986 0.445201
393000 1.00836 6.62339 -6.60186 3855.1 1.03759 0.444461
394000 0.99531 6.68267 -6.60911 3849.1 1.03921 0.444919
395000 1.00185 6.62374 -6.61329 3851.2 1.03864 0.444852
396000 0.995042 6.62702 -6.60455 3853.47 1.03803 0.444838
397000 1.00249 6.5884 -6.6143 3853.31 1.03808 0.444823
398000 1.00115 6.64965 -6.60649 3851.9 1.03845 0.444946
399000 0.992843 6.6817 -6.60282 3850.83 1.03874 0.444775
400000 1.00453 6.57954 -6.59624 3859.65 1.03637 0.443948
401000 0.99762 6.63057 -6.59041 3857.82 1.03686 0.444545
402000 0.996717 6.60637 -6.60704 3854.3 1.0378 0.444498
403000 1.00518 6.5899 -6.60159 3857.11 1.03705 0.4442
404000 0.9994 6.53655 -6.61649 3855.57 1.03747 0.444644
405000 0.994824 6.61142 -6.60699 3853.51 1.03802 0.444868
406000 1.00149 6.56789 -6.60323 3857.69 1.03689 0.44467
407000 1.00582 6.49241 -6.61173 3860.09 1.03625 0.444711
